company,location,industry,total_laid_off,date,stage,state
Corvus Insurance,Boston,Finance,144,24/01/23,Series C,MA
Icon,Austin,Construction,555,24/01/23,Series B,TX
PagerDuty,SF Bay Area,Product,56,24/01/23,Post-IPO,CA
Uber Freight,SF Bay Area,Logistics,150,23/01/23,Subsidiary,CA
Innovid,New York City,Marketing,40,23/01/23,Post-IPO,NY
Ermetic,SF Bay Area,Security,30,23/01/23,Series B,CA
Gemini,New York City,Crypto,176,23/01/23,Unknown,NY
Yext,New York City,Marketing,83,23/01/23,Post-IPO,NY
Google,SF Bay Area,Consumer,12000,20/01/23,Post-IPO,CA
Wayfair,Boston,Retail,1750,20/01/23,Post-IPO,MA
Vox Media,Washington D.C.,Media,130,20/01/23,Series F,VA
BitTorrent,SF Bay Area,Infrastructure,92,20/01/23,Acquired,CA
Karat,Seattle,HR,47,20/01/23,Unknown,WA
Edifecs,Seattle,Healthcare,30,20/01/23,Unknown,WA
Citrine Informatics,SF Bay Area,Data,22,20/01/23,Series C,CA
Avalara,Seattle,Finance,144,20/01/23,Acquired,WA
Cyteir Therapeutics,Boston,Healthcare,148,20/01/23,Series C,MA
Morning Consult,Washington D.C.,Data,119,20/01/23,Series B,VA
TikTok,Los Angeles,Consumer,788,20/01/23,Acquired,CA
Zappos,Las Vegas,Retail,603,20/01/23,Acquired,NV
Capital One,Washington D.C.,Finance,1100,19/01/23,Post-IPO,VA
Proterra,SF Bay Area,Transportation,300,19/01/23,Post-IPO,CA
WeWork ,New York City,Real Estate,300,19/01/23,Post-IPO,NY
Hubilo,SF Bay Area,Other,115,19/01/23,Series B,CA
Saks.com,New York City,Retail,100,19/01/23,Unknown,NY
CS Disco,Austin,Legal,62,19/01/23,Post-IPO,TX
Riot Games,Los Angeles,Consumer,46,19/01/23,Acquired,CA
Hydrow,Boston,Fitness,30,19/01/23,Series D,MA
Earth Rides,Nashville,Transportation,358,19/01/23,Unknown,TN
Fandom,SF Bay Area,Media,70,19/01/23,Series E,CA
IAM Robotics,Pittsburgh,Hardware,1460,19/01/23,Unknown,PA
Icertis,Seattle,Legal,89,19/01/23,Unknown,WA
Magnite,Los Angeles,Marketing,83,19/01/23,Post-IPO,CA
Personalis,SF Bay Area,Healthcare,148,19/01/23,Post-IPO,CA
Prisma,SF Bay Area,Data,119,19/01/23,Series B,CA
Microsoft,Seattle,Other,10000,18/01/23,Post-IPO,WA
Teladoc Health,New York City,Healthcare,300,18/01/23,Post-IPO,NY
Vroom,New York City,Transportation,275,18/01/23,Post-IPO,NY
8x8,SF Bay Area,Support,155,18/01/23,Post-IPO,CA
Pagaya,New York City,Finance,140,18/01/23,Post-IPO,NY
Inspirato,Denver,Travel,109,18/01/23,Post-IPO,CO
Jumpcloud,Boulder,Security,100,18/01/23,Series F,CO
Starry,Boston,Other,100,18/01/23,Post-IPO,MA
Addepar,SF Bay Area,Finance,20,18/01/23,Series F,CA
80 Acres Farms,Cincinnati,Food,259,18/01/23,Unknown,OH
Coda,SF Bay Area,Other,403,18/01/23,Series D,CA
